United_States_09d4	0.0012809420477851155
2006	0.0011468782336967645
United_Kingdom_5ad7	6.005381284275226E-4
2005	5.252197095762836E-4
Canada	3.9591966498968105E-4
France	3.950591702228716E-4
England	3.932945618244919E-4
Biography	3.770050312800691E-4
2004	3.654682270612652E-4
Germany	3.3800285177058636E-4
Australia	3.1927691018132436E-4
2003	2.936640201142419E-4
Japan	2.8540833207518556E-4
Geographic_coordinate_system	2.8354715861309156E-4
India	2.8134913455715347E-4
Italy	2.3528207561666578E-4
2001	2.3333746901385897E-4
2002	2.3232508930677614E-4
Europe	2.2239067551220373E-4
2000	2.182176127690846E-4
World_War_II_d045	2.1722804263418384E-4
London	2.030007292787108E-4
Internet_Movie_Database_7ea7	2.0030235172777865E-4
1999	1.940947778392533E-4
English_language	1.933245795577875E-4
Spain	1.9051375220235104E-4
Russia	1.8685944980154147E-4
Population_density	1.8296542114096175E-4
Race_(United_States_Census)_a07d	1.78593054943354E-4
Record_label	1.6846889772959513E-4
Wiktionary	1.6832643076322734E-4
1998	1.6737211678449144E-4
Wikimedia_Commons_7b57	1.644450364240129E-4
1997	1.5956906115835315E-4
New_York_City_1428	1.5727033254529424E-4
Scotland	1.5675479302307063E-4
Music_genre	1.527276397449313E-4
1996	1.495939682444692E-4
Sweden	1.459588665099464E-4
Football_(soccer)	1.4484303675467815E-4
China	1.422475468061743E-4
1995	1.418794994706454E-4
California	1.3828350544412232E-4
Television	1.3560395142491193E-4
Netherlands	1.3556706657230622E-4
1994	1.3538550445038152E-4
New_Zealand_2311	1.3467313297731745E-4
Square_mile	1.300242926801515E-4
1991	1.2889737875545438E-4
1993	1.2765113863846635E-4
1990	1.2654926810441082E-4
New_York_3da4	1.2436679817099853E-4
1992	1.2232831438048486E-4
Census	1.2112499220426204E-4
Norway	1.1789111539069772E-4
Ireland	1.1670414487225934E-4
Poland	1.1625226192724743E-4
January_1	1.1598014531128042E-4
1989	1.1466737661456146E-4
Film	1.1457335828952292E-4
Public_domain	1.1416010872283648E-4
Actor	1.1347841176591416E-4
Scientific_classification	1.126292335472128E-4
1980	1.1261610413982595E-4
Mexico	1.1219594398702642E-4
Population	1.1162302192287774E-4
Latin	1.1143706385195942E-4
United_States_Census_Bureau_2c85	1.1140661871182945E-4
Brazil	1.1002584079268971E-4
1986	1.0832487323834832E-4
French_language	1.0767373485804206E-4
1979	1.0671512546387605E-4
1981	1.0639760395972977E-4
1982	1.0634264636638134E-4
Marriage	1.0599512187166958E-4
1974	1.0558433928372238E-4
1985	1.0500483648575398E-4
South_Africa_1287	1.0415276366378583E-4
1983	1.0398082181386427E-4
1970	1.0328234131009716E-4
1984	1.0296509735464675E-4
1987	1.02201803560413E-4
1976	1.0170196418681052E-4
Switzerland	1.0138010713069529E-4
1988	1.0068938188816973E-4
1975	1.0053707276027525E-4
Km²	9.944505068777522E-5
1969	9.939414723563417E-5
1945	9.901330906274077E-5
1972	9.879069166829596E-5
Politician	9.848507903024467E-5
Paris	9.811696043583093E-5
Soviet_Union_ad1f	9.795084676599694E-5
Greece	9.794103705892906E-5
Album	9.788910274360052E-5
1977	9.760179562466368E-5
Per_capita_income	9.736503268300768E-5
1978	9.67133693345742E-5
World_War_I_9429	9.634566815047192E-5
1973	9.59703071456902E-5
